,biomass_site,Plant_ID,Dji
191,1000,99,99.3132148
192,1001,2,93.20336417
193,1001,34,92.86862895
194,1002,22,88.86053356
195,1006,2,87.34826953
196,1006,14,68.53506
197,1006,22,90.2764736
198,1006,34,70.95023953
199,1006,99,67.34149074
200,1008,14,96.30338247
201,1008,22,45.49642079
202,1008,77,87.50435792
203,1008,99,91.24332273
204,1010,2,97.75432535
205,1010,34,99.17428217
206,1013,22,79.67721939
207,1014,2,82.6865915
208,1014,14,68.52057366
209,1014,15,97.29106339
210,1014,22,98.54314857
211,1014,34,67.70153218
212,1014,66,96.41343666
213,1014,99,68.1790658
214,1019,14,88.40451552
215,1019,22,46.63811524
216,1019,77,87.46494676
217,1019,99,83.55805682
218,1021,2,79.09290173
219,1021,14,69.98013435
220,1021,15,94.64868203
221,1021,34,65.88922995
222,1021,66,93.34626842
223,1021,99,70.46266467
224,1022,22,70.68550966
225,1026,14,81.09174354
226,1026,22,49.85170237
227,1026,34,95.94584833
228,1026,77,88.5950164
229,1026,99,76.53084406
230,1028,2,76.68078694
231,1028,14,72.87988359
232,1028,15,93.04957545
233,1028,34,65.63097715
234,1028,66,91.31147062
235,1028,99,74.12586596
236,1030,22,62.14006177
237,1030,77,95.8322923
238,1034,14,74.38515046
239,1034,22,54.82519992
240,1034,34,87.83102937
241,1034,77,90.87143184
242,1034,99,70.21236154
243,1036,2,75.56958564
244,1036,14,77.02182655
245,1036,15,92.54318937
246,1036,34,66.934334
247,1036,66,90.37848877
248,1036,99,78.93627213
249,1039,22,54.09579193
250,1039,77,90.20937724
251,1043,2,99.34149077
252,1043,14,68.59905406
253,1043,22,61.05088994
254,1043,34,80.26564111
255,1043,77,94.1697379
256,1043,99,64.93767984
257,1044,2,75.81868528
258,1044,14,82.17514413
259,1044,15,93.14746868
260,1044,34,69.68988325
261,1044,66,90.58506508
262,1044,99,84.65019677
263,1048,22,46.94979675
264,1048,77,85.46137964
265,1049,54,98.0364789
266,1052,2,77.41783105
267,1052,14,88.24668447
268,1052,15,94.85063444
269,1052,34,73.78025236
270,1052,66,91.92580883
271,1052,99,91.19061656
272,1053,2,91.93002939
273,1053,14,63.8646134
274,1053,22,68.28302824
275,1053,34,73.26035822
276,1053,77,98.44412499
277,1053,99,60.87056457
278,1057,22,41.05500714
279,1057,77,81.6935013
280,1059,22,95.21961486
281,1059,54,96.96777969
282,1060,2,80.28940626
283,1060,14,95.02541258
284,1060,15,97.59419401
285,1060,34,78.98172423
286,1060,66,94.35500338
287,1060,99,98.35345399
288,1061,2,85.10119546
289,1061,14,60.49814842
290,1061,15,96.87604286
291,1061,22,76.19712951
292,1061,34,67.08343008
293,1061,66,97.00415549
294,1061,99,58.3266434
295,1066,14,99.45250744
296,1066,22,37.09056718
297,1066,77,79.06986335
298,1066,99,94.05141968
299,1067,22,85.51162918
300,1067,54,96.96344178
301,1067,60,97.57984228
